问题,类别
中国矿产资源集团有限公司已于7月25日成立，将是整合部分国有铁矿采购及海外铁矿资产的全新央企。该企业将致力于成为以市场化方式集中国内部分铁矿石需求的平台，同时投资开发矿山，请问公司未来是否联合中国矿产资源集团，成立一些基金，进行海外矿山的参股和收购？,生产经营情况
董秘你好，公司账面有20多亿现金且无银行贷款，现金流充足，公司股价长期低估，强烈要去公司回购股份并注销。,股东与股权变动
请问公司懂事长，公司在海南子公司具体有哪些项目？,公司基本状况
请问公司有往国外发展业务的计划么,生产经营情况
硫酸价格暴跌到248元每吨，这个价位销售硫酸会亏损不？,生产经营情况
疫情依旧反复，公司今年在购物中心业务这块有什么计划吗？,生产经营情况
请告知截止2022年9月20号公司股东人数多少？多谢,股东与股权变动
贵公司的销售政策是不是有点激进了？利润是可以，但是现金流量表 无法看啊,生产经营情况
请问随着中国城市化已经接近尾声，每年需求占钢铁半壁江山的建筑用钢未来需求量可能从巅峰的5亿吨下降到2亿吨，请问未来中国钢铁需求可能稳定在7亿吨，请求公司如何应对钢铁需求下滑？公司如何看待未来铁矿石价格走势？以及公司如何转型，谢谢！,公司基本状况
20220930盘后股东人数！,股东与股权变动
贵公司的杏仁奶产品夭折了吗   说好的今年上市的呢？,公司基本状况
请问，公司磷酸铁项目进展如何？目前生产、销售是否符合之前判断？公司提到绑定了龙蟠和格林美，这两家企业会不会压咱们的价或者减少咱们的采购？秋肥销售再加把劲。谢谢！,生产经营情况
董秘你好，贵公司的大股东减持进展如何了？面对贵公司后期的发展，有无引入战略性的投资来增强公司实力？,股东与股权变动
公司是否有研发支持卫星通信的手机壳？,生产经营情况
董秘你好：华为mate50壳什么时候可以上市销售,生产经营情况
公司股东大减持为什么提前没有披露，而是减持完才发公告。,股东与股权变动
董秘您好，在金九银十的重要时刻，很多消费电子即将发布新的产品，那么公司今年是否有推出新产品？5G手机壳除了华为手机可以用，其他厂商的手机也可以使用吗？,公司基本状况
恒大地产暴雷后，多家建材供应商计提了应收账款减值准备，为什么大亚圣象没有出现同样情况呢？,生产经营情况
截止9月30日，股东人数多少？,股东与股权变动
董秘你好，请问贵司的空气源热泵在欧洲销售情况如何？今年欧洲天然气短缺，希望贵司能抓住机遇，业绩大涨,生产经营情况
公司有没有热泵生产和出口,生产经营情况
您好，我公司有空气能业务吗？占比多少？,公司基本状况
最近一个多月，外资通过深股通大幅减持贵公司股票，公司有100亿闲置资金用于理财，是否拿出部分来回购股票，稳定股价，对冲外资的减持？,股东与股权变动
请问公司是否有空气热能泵产品？,公司基本状况
请问公司产品是否有空气热能泵?是否出口欧洲?公司能否抓住欧洲能源危机机遇提升业绩?,公司基本状况
请问海信家电 往欧洲电热器 空调等产品有出口么有?,公司基本状况
董秘你好，请问截止9.25日公司股东人数是多少谢谢！,股东与股权变动
你好，贵公司的热泵产量有多大?和营业占比,生产经营情况
月亮湾和星誉国际已开盘的房子，全部销售掉了吗？,生产经营情况
请问公司最近有没有待投产项目？现有啤酒产能有多少，公司远期规划产能要达到多少？谢谢,生产经营情况
您好，请问，贵公司截止9月20日股东人数是多少？谢谢！,股东与股权变动
董秘您好，截止9月20日公司股东人数是多少,股东与股权变动
有生产电热毯吗？,生产经营情况
董秘你好，公司有布局5G生活应用方面的技术和生产吗?,生产经营情况
懂秘你好：天津临港海水淡化示范基地的两套高性能反渗透/纳滤膜是不是贵公司的产品？,公司基本状况
请问公司高层除公司优势品类电工钢、汽车板、镀锌板等传统优势产品，请问上半年首钢股份在中国市场首发多少新品？请问对标一下优秀国际同行比如宝钢股份对标找差，公司培育一些100万吨，吨钢利润1000元的品种？请问可以吗？,公司基本状况
钢铁企业若想有效提升经营效益，便需稳抓精益运营和数字化转型。依托精益和数字化深挖潜力，在组织与技术转型上双管齐下，是钢企转型提升的必由之路。在行业低迷时候，希望公司精细化管理，全员分解成本，请问公司精细化管理方面如何发力？以及公司数字化转型有什么规划，比如实现什么目标，降低多少成本？,生产经营情况
公司目前9%Ni钢板产量多少，国内市场占有率，谢谢？,生产经营情况
鞍钢集团和宝武集团下属的多家钢企已经采用育材堂技术，量产了高韧性铝硅镀层热冲压钢，并且在国内多家汽车企业实现了商业化。请问公司汽车板是否应用这个技术？,生产经营情况
董秘您好，公司主营包括环卫装备，其中环卫自动化设备，环卫机器人等正逐渐被市场接受，基于这些设备对芯片和软件的需求以及自身核心技术发展的考虑，公司未来是否会设立芯片研发部门或者通过收购一些小型科技企业以达到芯片自给的水平？,生产经营情况
您好！请问截止9月20日收盘公司股东人数是多少，谢谢！,股东与股权变动
公司产品是否用于高超音速导弹、核武器？,公司基本状况
查封、扣押、冻结被申请人高升控股股份有限公司名下价值9981507.86元的财产。为什么没有公告,股东与股权变动
请问上海莹悦出售子公司进展如何,公司基本状况
董秘好，问下公司煤炭长协煤和精煤平均销售比例大概多少，企业煤炭的毛利率多少？谢谢,生产经营情况
请问，截止到9月10日，股东人数多少，谢谢。,股东与股权变动
请问公司产品出口部分是以美元结算的吗？,公司基本状况
请问公司现在的股东人数是多少？同比和环比各是多少？,股东与股权变动
请问新乡兴鹭水务的营业范围包括哪些地区？,公司基本状况
请问新疆天鹭新材料目前是否已经开展业务？公司地理位置优越是否以开展外贸为主？,公司基本状况
公司海外营收下滑是什么原因导致？,生产经营情况
你好！美国限制英伟达等公司向中国出口高端GPU芯片对公司有何影响，公司有什么应对办法。会不会影响公司智算业务开展，公司对此影有没有评估？,公司基本状况
贵公司目前生产经营是否正常？,生产经营情况
9月1日后，贵公司从英伟达、AMD公司进口的高端GPU芯片受到限制，甚至断供。你们有什么应对措施？有无替代产品？,公司基本状况
请问截止9月28日，浪潮信息的总股东数是多少，谢谢！,股东与股权变动
我想了解下首钢的硅钢产能规划，取向硅钢和无取向硅钢到2025年分别将达到多少产能？高牌号、高性能的无取向硅钢2025年将有多少产能,生产经营情况
请问公司为什么没有单独的官网？作为上市公司合适吗？是不是上市公司和集团职责不清？,公司基本状况
尊敬的董秘您好 ，请问截止9月20日的股东人数是多少？谢谢！,股东与股权变动
尊敬的董秘您好，请问截止9月10日的股东人数是多少？谢谢！,股东与股权变动
您好，浪潮信息在4月份公告了《关于开展金融衍生品交易业务的可行性分析报告》。请问，现在汇率波动很大，浪潮有在开展金融衍生品交易业务了吗？,公司基本状况
据IDC最新报告，二季度的PC出货量下滑15.3%，请问对公司的业务有多大负面影响？,公司基本状况
董秘你好，请问公司专利生产的液态、固态氢瓶是否可用于航天和火箭？谢谢,生产经营情况
今年全世界天气格外炎热，请问贵公司的泳衣销量如何?请贵公司如实回答，谢谢!,生产经营情况
公司有什么PVC产品？,公司基本状况
请问上市公司投资了十几亿的航发扩建项目和新能源汽车高端零部件项目都已经建设过半了，为什么始终就不能发布公告？为什么始终要刻意隐瞒这两个项目的建设情况投资金额和达产后的产能和产出情况？难道要等到项目投产也不告知投资者吗？,生产经营情况
美国电动飞机成功试飞，请问航发公司有没有适用于该类电动飞机的动力产品？,公司基本状况
请问公司有没有热泵或者相关的产品出口？,公司基本状况
请问公司2021年宣称子公司早饭师品牌连锁店，3年开5千家店，目前进展怎样？,公司基本状况
您好，公司位于青岛，青岛，深圳作为国家的海洋城市，公司作为国企有没响应国家海洋战略，发展海洋休闲食品计划？谢谢！,生产经营情况
公司在环境修复领域有哪些业务？,公司基本状况
你好，看到贵公司销售收入持续增长，销售净利率却从12%降至6%，请问原因是什么，下降是偶然的吗？未来能够改善吗？,生产经营情况
公司股价已经近几年新低，请问公司有回购计划吗,生产经营情况
公司一直强调回报广大股东，现实确是公司股价长期低于首发发行价格，请问公司高层怎么看待这个问题？诚然股价受到多方面因素影响，但不作为任其向坏的方向发展就是你们的问题了，办法有很多，回购、增持等等方面都可以做，就看做不做了！,股东与股权变动
董秘你好贵公司的未来销售布局规划是什么样子的呢？,生产经营情况
公司生产保暖内衣吗？是否有出口欧洲国家？,生产经营情况
由于管理费，销售费用占营业收入比例太高，导致净利率太低，请问公司有没有降低费用提高利润的措施？,生产经营情况
因为能源问题欧洲人民即将面对一个寒冷的冬季，公司产品主要销往欧美，请问公司哪些产品可以帮助欧洲人民抵御寒冷的冬天？,公司基本状况
公司有生产软磁材料或者技术储备吗？,生产经营情况
董秘您好，广州作为氢能源发展举足轻重的地方，并且也是贵公司的大本营，目前广州已经出台了氢能源发展规划，鸿达兴业作为氢能源领域的佼佼者，已经在氢能源领域扎根多年，请问贵公司在广州有没有氢能源方面的投资规划？比如加氢站运营，氢气瓶生产，氢气生产等等。,生产经营情况
请问贵公司今年氢能源能达到多少产能？,生产经营情况
公司有哪些稀土产品？,公司基本状况
请问董秘，江苏金材的主要产品是什么？,公司基本状况
公司研发什么稀土储氢材料吗？,生产经营情况
贵公司有70兆帕氢气储气罐技术吗？谢谢,生产经营情况
最近公司可有新增业务，或者原有氢能源业务是否有新的突破,公司基本状况
广东土壤研究院是做什么的？,生产经营情况
请问董秘，公司有哪些PVC产品？请回复，谢谢。,公司基本状况
公司有卫星业务吗,公司基本状况
公司业绩直下滑后期是否有上涨增持,股东与股权变动
请问公司有没有储氢瓶业务？,公司基本状况
您好，贵公司在做氢能，有什么专利技术？,生产经营情况
董秘您好，请问贵公司有风能/光伏制氢的技术吗？,生产经营情况
董秘你好！现在国家在氢能方面的支持已经上升到前所未有的高度，强烈建议贵司改名“鸿达氢业”，以彰显公司做大做强氢能的决心！开拓氢能产业的星辰大海！以氢能为名！使公司全体人员有更加明确的使命感，更加强烈的行动力！目标明确则方向一致！万众一心！众志成城！,公司基本状况
你好董秘，贵公司离子交换膜法大型电解装置是否可用有燃料电池的研究生产,生产经营情况
董秘，你好周苏教授作为燃料电池的教授，是否预示着公司未来将进一步在绿色能源上发展，未来在燃料电池和动力电池有什么规划吗？,生产经营情况
董秘，你好周苏教授作为燃料电池的教室，是否预示着公司未来将进一步在绿色能源上发展，未来在燃料电池和动力电池有什么规划吗？,生产经营情况
董秘您好！近年来国家非常重视氢燃料电池项目，请问贵公司除了产氢及加氢站的建设运营，有没有往下游发展的规划？如开发氢燃料电池？谢谢。,生产经营情况
董秘你好。请问参股公司成都海威华芯科技有限公司上方有通信设备合作卫星导航方面的产品？公司持有成都海威华芯科技有限公司多少股权？,公司基本状况
董秘你好！苏宁帮客怎么不引入战略投资者？苏宁帮客业务范围可以向外扩大，而不是仅仅服务内部业务。把服务做到极致，这样资金解决了，市场份额扩大了，还能增加用户粘性，一切问题迎刃而解。,公司基本状况
你好！我是贵公司股东，请问贵公司9月20日股东人数。谢谢！,股东与股权变动
请问贵公司截至9月23号，股东户数是多少？请回答！,股东与股权变动
您好，董秘，请问截止9月16日收盘，贵公司股东户数是多少？,股东与股权变动
您好，请问，贵公司截止9月20日股东人数是多少？谢谢！,股东与股权变动
董秘你好：建议公司回购公司部分股份，提振一下投资者的信心。谢谢。,股东与股权变动
董秘您好！请问贵公司近期发展规划有没有研发氢燃料电池的计划？或者是与其他优质个人及团队共同合作，整合资源，优势互补，一起研发氢燃料电池？,生产经营情况
你好董秘！请问贵公司有生产光伏用EVA材料吗？如果有请问规模多大？订单充足吗？,生产经营情况
董秘你好：在这个价位是不是可以用出售颖泰生物的资金回购公司股份，提振一下股民的信心。谢谢。,股东与股权变动
你好！今年大众ID系列产品交付是否大增？ID平台高压线速均为公司产品？,公司基本状况
请问贵司的全黑perc组件，在欧洲售价能达到多少欧元/瓦呢？,生产经营情况
请问公司电动汽车无线充电技术应用进展如何？量产前景预测？,生产经营情况
近期的欧洲航线出口集装箱运费已经比较初的高点下跌了50%以上，这对于横店东磁的出口业务收益会带来什么影响呢？,生产经营情况
公司现在的新冠物资产能是多少？满产满销吗？,生产经营情况
请问贵公司供暖产品有哪些？,公司基本状况
请问公司微通道扁管供应商主要有哪几家？是否降低了对海德鲁的单一供应商依赖？,生产经营情况
请问董秘，截止目前到9月28日，公司股东和机构数量分别是多少？,股东与股权变动
请董秘介绍一下公司与控股股东业务协同的一些进展，比如 航城 山海汇这些集团项目，宝鹰有没有参与相关的业务线条。控股股东旗下建工业务繁多，板鹰是如何与集团其他公司协同发挥最大的作用呢？,公司基本状况
请问贵公司什么有无计划回购股份？,股东与股权变动
公司作为国内大型系统集成商，又深耕能源IT领域多年，请问在目前发展前景较佳的储能系统集成方面，公司有哪些项目应用实例？有无核心竞争产品方案？,公司基本状况
贵公司有参股或者控股的矿山企业吗？有计划收购矿山做爆破一体化吗？,公司基本状况
请问： 1、贵司是否公布3季报？若公布大概日期是哪天？ 2、就目前经济环境而言，贵司电价未来是上调还是下调的概率大？ 3、贵司新能源项目的投产状况如何？大股东对公司未来发展有何规划？,生产经营情况
2021年至今定点的5个汽车项目，今年四季度预计投产几个？明年上半年几个？剩下的预计什么时候投产？,生产经营情况
国内宜宾产能量产了吗，欧洲电价大幅上升，美达是不是又该大幅亏损了？,生产经营情况
米其林计划2023年所有轮胎加装RFID芯片，请问公司是否有相关技术？,生产经营情况
市场传闻公司每月供货液体黄金已经超过3000吨 请问是否属实,生产经营情况
宁德时代是否是公司的客户？,生产经营情况
截止2022年9月20日 公司的股东人数是多少？,股东与股权变动
公司盘锦投资项目产品是否是液体黄金EVE相关原料？,公司基本状况
董秘，您好，请问公司与苹果，荣耀，小米等国产手机是否有供应？,生产经营情况
请问贵公司在2021年度报告里提到的“建立“新材料、新封装、新产品、新工艺”的前瞻性技术研究团队：储备优秀的技术团队，加大技术研发投入，从新材料、新封装、新产品、新工艺四个维度，开展前瞻性的深入研究，持续推出更环保、更经济、更高效率的新产品。”请问这四个“新”目前进度如何？,公司基本状况
请问贵公司考虑回购股份吗,股东与股权变动
尊敬的董秘，请问中登公司下发的最新股东数是多少？方便时麻烦查下,股东与股权变动
董秘，您好，请问贵公司在储能方面有没有业务开展,公司基本状况
请问公司有没有发展新业务的考虑，同业竞争问题什么时候解决？股价一路向下公司有没有回购的打算？,公司基本状况
董秘你好，随着9月已接近尾声，大部分钢企皆已经复工复产，贵公司的生产却迟迟未启动，说是在检修，请问检修到什么时候？淮钢的库存占比贵公司库存多少？,生产经营情况
董秘你好，现金理财购买的有关大股东沙钢集团控股的张家港行发行的理财产品，为何没有在最新的公告里公示？根据最新的半年报显示，短期借款有9亿，应付账款有17亿，公司现金流并不充裕的情况下，为何选择继续购买相关不保本理财产品？,公司基本状况
董秘好！近期公司股价跌跌不休。断崖式的下跌。请问公司有没什么决策来提升股东持股的信心。近期有没回购股份的计划。谢谢,股东与股权变动
请问公司液体黄金到年底产能 出厂价 毛利润各是多少？另外目前同业竞争有哪些单位？,生产经营情况
公司热泵有出口到欧洲的业务吗？,公司基本状况
请问恒宝有没有跨境支付业务？,公司基本状况
您好，请问一下贵公司有跨境支付相关的业务吗?,公司基本状况
工信部9月底公布要开启Esim技术，明年的手机全部换esim卡，请问贵公司是市场唯一通过三大运营商esim卡的企业，目前这一块技术储备有哪些？,生产经营情况
最近国家在大力发展数字货币，请问公司在数字货币方面有哪些技术？下一步有没有把数字货币作为公司重点挖掘的对象？,生产经营情况
贵公司再虚拟电厂和柔性光伏方面，有没有自己的技术或者专利？,生产经营情况
贵公司在手订单有多少？本月有没有中标,生产经营情况
请公司公布到9月30日的股东人数,股东与股权变动
贵公司近三年业绩增长很快，有考虑回购吗？截止目前，有多少股东？,股东与股权变动
第六届丝绸之路国际博览会贵公司有参加，贵公司产品吸引了一带一路的国家吗？有服务一带一路吗？,公司基本状况
请问公司今年在甘肃养猪产能是多少,生产经营情况
你好，请问公司销售的户外休闲家居属于露营经济不？,生产经营情况
你好董秘，公司全球购，有没有出口电热毯等相关产品,公司基本状况
有市场消息透露，贵公司将成为四大运营商，含广电。eSIM最大的合作方，这一块的合作收入按照目前十三亿手机用户，可能会有千亿市值。目前贵公司建议抓紧研发更新技术。,生产经营情况
请问贵公司关于数字人民币新生产线建设进度如何？预计存量订单及预期盈利情况如何？,生产经营情况
董秘好，请问贵公司有没有在江苏苏州推进数字货币相关业务？,公司基本状况
工信部正组织研究推进eSIM技术在智能手机等设备上的应用，请问公司是否具备了相关技术储备？请介绍,生产经营情况
请问公司的新能源变压器产品是否出口欧洲？,公司基本状况
你好！能否具体说下目前空气能热泵的销售情况？是否需要扩产能？,生产经营情况
请问一下，公司最近在北美展出的产品，是公司的自有品牌吗？,公司基本状况
对于汽车控制器市场，公司有怎样的规划和展望？,生产经营情况
贵公司未来终极目标定位是什么？有做龙头打算吗？目前订单是充足还是一般？,生产经营情况
为什么派能、南都和鹏辉在储能市场上产能、销售都是倍增，为什么公司在储能市场上一直不温不火呢?也没大的投入，也没大的合作机会，为啥不能利用自己在电芯的优势，和大厂合作，迅速扩大在储能市场的优势呢？,生产经营情况
请问上半年硫酸锰停产后产能是否转移至硫酸镍？上半年硫酸镍代加工具体多少吨？谢谢。,生产经营情况
你好董秘，公司的热泵配件可用于户用采暖热泵的体系吗？ 公司用于汽车的热泵，是整机自主生产吗？还是采购零部件自己组装，还是自己设计委托代加工即可？ 公司的汽车热泵价值量能透漏下吗？汽车热泵是否也可以用于制冷，替代汽车空调？汽车热泵耗电量小于汽车空调多少呀！？汽车热泵还可以给汽车电池供暖吗？,生产经营情况
您好！近期油价下行趋势，会否在一定程度上降低生产运输成本？谢谢,生产经营情况
尊敬的董秘您好！请问公司各类电暖产品是否有出口欧洲？请正面回答，谢谢！,公司基本状况
公司根据下游客户要求对动力电池进行改性优化，相关前驱体送样是否己达到改性优化？有无带来增量订单？谢谢。,生产经营情况
您好！请问之前公告的8月底鹤岭生产基地生产线是否已圆满完成？！如未结束，已进展到哪一步了？谢谢！,生产经营情况
董秘你好：截止到9月23日的股东人数.谢谢！,股东与股权变动
尊敬的领导您好，公司多次强调突出在微逆变领域的产品，可否介绍下具体是什么产品，市场空间如何，当前有无出货？谢谢！网上有言公司当前很多事业部基本处于半停工状态，是否对公司形成较大的影响？,公司基本状况
请问董事长今年的减持计划完成没有？,股东与股权变动
截止9.28日公司股东人数多少,股东与股权变动
最新股东人数？,股东与股权变动
董秘您好，贵公司于9月9日回复钠离子电池项目已具有批量生产能力，是否有规划何时部署生产线？产能如何？,生产经营情况
请问公司高达50亿的出口是以美元结算的吗？美元大幅升级汇兑收益得有几个亿吧？国外客户结算周期大概多久？万和电气欧洲热泵销售几百万便受到市场热捧，贵公司号称批量生产那么热泵销售大概多少收入啊？,生产经营情况
请问公司有没有做热泵相关的产品,公司基本状况
请问欧洲在准备渡过寒冬，目前国内出口到欧洲的取暖器比较畅销，公司是否有相关产品或者为相关取暖器提供相应的配件产品？,公司基本状况
请教公司的空气热泵产品是直接做整机代工，还是做系统配件呢？主要出口到哪些国家？,公司基本状况
欧盟提出未来5年安装1000万台热泵，请问公司热泵目前产能是多少？能否满足欧洲市场需求？,生产经营情况
三季度毛利润回升了吗？钠离子电池量产了吗？,生产经营情况
董秘您好！请问最近增资的公司悦心科技的主营业务有哪些？,公司基本状况
能不能预告一下三季度业绩，环比增长情况怎样？目前订单饱满吗？给投资者信心啊老是市值做不大啊,生产经营情况
自古《东方》出牛股，请问贵公司除了vr领域，还有其他领域涉及消费电子吗？,公司基本状况
董秘您好:贵公司未来是否会跟桂林旅游发展集团旗下子公司进行资产重组。谢谢！,公司基本状况
请问公司根据烟草局通告：电子烟过渡期内，所有符合条件的既存电子烟市场主体的许可证已全部办理完毕。公司尚有正在申请仍未获批准的子公司，10.1后是准备继续提出异议还是关门注销,生产经营情况
截至到2022年9月20日贵公司的股东人数是多少？】,股东与股权变动
请问董秘，定向增发一事目前有何进展和计划？,生产经营情况
请问贵司现在订单如何？对未来有什么计划措施？,生产经营情况
董秘您好，VR头显设备作为元宇宙重要的的硬件载体，目前，中国虚拟现实(VR)头显设备运行的龙头企业分别是小鸟看看(Pico)和乐相科技(大朋VR)，请问公司有直接或间接供货给这两家龙头企业吗？,生产经营情况
贵公司膜产品，能用于新能源车贴膜吗,公司基本状况
是否有回购股份的行为,股东与股权变动
请问贵公司的菜品有哪些种类？？ 客户群体是哪些人？？？,生产经营情况
诸问欧洲局势动荡对贵公司产品书口有何影响？,公司基本状况
董秘你好，麻烦公告一下截至到9月8号股东人数是多少？如果不能公布，请问别的上市公司为什么能公告，请说明原因和需要什么手续或者材料才能知道当前的股东人数。,股东与股权变动
截止到九月三十号股东人数是多少,股东与股权变动
公司在什么情况下会出台回购股份的举措？,股东与股权变动
合力泰通讯显示一体化一期项目，达产达标的时间有规划吗？,生产经营情况
看了你们网站， 涉及保健品有哪些在销售的，没有任何具体介绍，有什么渠道可以 看到或者购买？？,生产经营情况
请问三季报预告什么时候出？好多上市公司预告都出了，还有新公司股东人数多少呢？,股东与股权变动
请问小鹏汽车的G9的语音技术是贵公司做的吗？另外何时发布第三季度业绩,生产经营情况
您好，京东和淘宝上的学习机销量榜单上讯飞已经已经大幅落后小度和希沃了，请问公司采取了什么积极措施没有？,生产经营情况
讯飞应该加快人形机器人的研发和推出速度，抢占风口，占领先机，这对形成更大品牌价值和吸引力是很重要的，请问贵公司在这一块有没有更多全面深层次的考虑?,生产经营情况
公司风电产能自2018年以来一共就新增了10w千瓦，说“ 坚持巩固存量与扩大容量的协同发展”的底气何在？,生产经营情况
金风科技持有北京蓝箭空间科技有限公司10.09%的股权，1、为何在公司参股联营公司名单中没有这家公司？2、是通过什么途径参股的这家公司？谢谢,公司基本状况
请问贵公司有没有产品出口欧美，占比多大,公司基本状况
刘总你好 公司股票估值又到历史最低区间 原因是大家对公司未来信心不足，认为公司不确定性太高。刘总说下半年肯定比上半年好，那公司对全年实现30%以上营收和业绩增长有没信心？ 我们这些长线股东一直在增持，如果公司有信心是否可以考虑号召员工和管理层进行增持。谢谢,股东与股权变动
董秘您好，目前全球创新药研发的大背景下，通过AI技术可以大幅缩短寻找可能有效的蛋白质和化合物的时间，未来有着广阔的空间。想咨询一下公司针对AI新药研发领域有布局吗？谢谢董秘,生产经营情况
西工大事件中，公司的产品到底除了什么问题？,公司基本状况
董秘你好：前段时间欧洲“北溪-1”和“北溪-2”天然气管道泄漏事故，本公司是否拥有相关监测、检测泄漏技术？,生产经营情况
公司有布局快销品的产品吗？如雪糕，饮料，，等产品？,公司基本状况
近期人民币汇率变化对公司海外业务的结算和收益有什么影响？,生产经营情况
董秘好，上半年由于疫情的原因，公司的经营受到了一定的影响，华东片区增长率只有14.34%，请问经过这几个月的恢复，到年底公司的经营情况是否能达到或接近年初的预期，谢谢。,生产经营情况
尊敬的董秘您好，请问公司在乘用车汽车黑匣子方面有布局吗?生产准备到什么时候?有没有明确的时间节点?,生产经营情况
传闻国外订单被砍，是否属实？若属实，建议考虑内循环，向国内电动两轮车供货。,生产经营情况
你好：请问现在的股东人数是多少？,股东与股权变动
请问此前谈到公司接近5.6亿颗产能都有订单锁定，目前受下游需求影响受到影响，那么如果今年没有完成 ，一般是取消 还是明年的订单重新谈，明年新订单目前在谈吗 ，什么时候可以落地。另外储能和清洁电器明年订单，如有，正常也会今年四季度之前有结果吗 到时候会公布吗,生产经营情况
你好董秘！贵公司在2022年第四季度是否具有高新技术企业资格？,生产经营情况
董秘你好，公司研发储能变流器吗？谢谢,生产经营情况
董秘你好，公司有飞轮储能等技术研究吗？,生产经营情况
请问公司目前电芯平均日产量是多少颗?,生产经营情况
董秘，你好，公司的4680技术储备是用于什么方面的？有计划生产4680电池嘛？,生产经营情况
尊敬的董秘您好，感谢您之前对我问题的回答。今天再次提问下，目前公司已经掌握了4680电池的研发技术，那么后续是否有量产4680电池的打算？期待您的具体答复！,生产经营情况
董秘你好，请问一下28号最新股东人数,股东与股权变动
董秘，你好，公司未来有没有重入五菱新能源电池项目，或者其他新能源汽车客户的计划，希望蔚蓝锂芯有一个好未来。谢谢！,生产经营情况
请问，公司在马来西亚投资，21 46 50系列电池生产，主要是用于储能吗，46系列是否会用于电动汽车。另外储能为主的话，能否介绍一下 下游的客户拓展情况和未来预期，谢谢。和淮安二期是否有冲突，二期是否会更改资金用途。未来扩张产能是否可以顺利消化。另外四季度下游需求是否会有好转,生产经营情况
pancake模组中，单眼模组的价格大概是多少,公司基本状况
您好，请问为何三季度出现了同比下滑，是有大客户砍单吗，那为啥立讯精密和环旭电子增长稳健呢,生产经营情况
对于公司的AR/VR产品供不应求，中小股东有无优先购买权？,公司基本状况
您好，根据先前披露公司一直在自研VR光学器件，请问PIOC4中用到的105度视场角的pancake光学模组是否为贵司提供？目前贵司在VRAR光学系统中能提供哪些核心光学元件？,公司基本状况
请问公司最新的电芯销售均价是多少？毛利率对比半年报是否有提高？,生产经营情况
请问公司清洁能源，智能出行的客户开发情况如何？是否有大客户在公关中，具体明年这两个方面的订单量预计有多少？,生产经营情况
你好，请问贵公司在新能源方面除了锂电池还没有没研发钠电池方面。,生产经营情况
请问公司订单量是否恢复？是否达到满产？,生产经营情况
三季报预告显示几乎是历史最好的业绩，但是股价确大幅下跌，但是最近公司调研的又多。建议贾总回购股份，提振市场。,股东与股权变动
请问董秘是否考虑做股份回购，公司员工期权行权价要34元，还不如在二级市场买入公司股票，公司现在这股价怎么激励员工工作积极性呢？,股东与股权变动
再一次建议公司进行股份回购。,股东与股权变动
请问公司股价一直下跌，公司是否有回购措施？或者别的措施来增加投资者信心？,股东与股权变动
公司应该关闭网店，不要去抢经销商的利益。材料再好没有好的技术工厂，效率少一大半，所以经销商手上的资源非常重要，品牌再大，质量再好，施工不行一切为零，行业特点,生产经营情况
据说iPhone14销量很差，作为苹果产业链一员，请问此情况对公司业绩有没有很大负面影响？,生产经营情况
公司生产和经营是否正常？,生产经营情况
近日字节旗下的vr品牌pico发布的新品pico neo 4，请问公司是否有向其供应零部件,生产经营情况
您好董秘，贵公司有pancake光学方案的技术吗,生产经营情况
请问一下截至九月二十日公司的股东有多少人,股东与股权变动
请问贵司对碳达峰，碳中和是否有规划？具体是如何规划的？,生产经营情况
根据最新财报，贵公司的海外营收占比超过91%，请问主要是美国吗？最近汇率变化对公司来说有何影响？能产生汇兑收益吗？谢谢！,生产经营情况
请问董秘，今年美股下跌叠加联络互动的减持，新蛋股价长期低迷，联络互动融资还债的目的如果无法达成，是否考虑出售北京望京的房产还债？,股东与股权变动
4月18号投资者关系问题8声称堆了一个季度订单， 请问贵司如何在可见一个季度订单情况下减值大幅升高，这种管理水平是否符合激励条件？问题3声称上海疫情对公司影响不大，上海集成商较少。请问半年报为何又将上海疫情列入影响因素？,生产经营情况
董秘，你好。泰和新材的芳纶隔膜中试产线明年初建好投产，通过之前的互动提问及调研得知是3000万平米。我想问一下如果中试产线投产销售顺利，后期要扩大的产能的话，再建设新产线的话速度时间上会很快吗？,生产经营情况
董秘，你好。我了解到贵公司有开始在研发纤维锂电池、纤维光伏电池，请问这类纤维锂电池的应用场景和前景。还有就是贵公司是不是针对这个项目也有组建了电池相关的研发团队。,生产经营情况
截止最新公司股东数有多少？,股东与股权变动
公司用于股权激励的股票来自二级市场的回购，请问，此部分回购是否已经完成？,股东与股权变动
请问人民币贬值对公司海外电商有影响吗？,生产经营情况
董秘，您好，请问我司生产热泵并且对外出口么？,生产经营情况
请问公司有电动两轮车的轮毂电机业务吗？,公司基本状况
你好董秘，公司目前的新能源电机的产能是多少？杰诺瑞和佩特莱除了生产启动机和发电机是否有新能源动力总成的生产和配套？,生产经营情况
贵司口口声声计提遵守会计准则，请问友商为何没有此问题，还好意思说为了缓解供应链风险，对贵司的决策能力深感遗憾。另外，贵司在 4月份投资者关系中说到，以前订单都是一个月，现在积压了三个月，请问是否涉嫌虚假陈述！,生产经营情况
公司在北京、芜湖、西安、成都、长沙设立了五大研发中心，各自研发方向、内容有何侧重点？,生产经营情况
请问董秘，公司前几年就研发出了新能源无线充电技术了，为什么没有投放市场？目前是怎么布局的？,生产经营情况
你好董秘，公司的婴童用品主要是那些产品？,公司基本状况
公司目前有没有发行数字藏品业务？,公司基本状况
