请问2021年9月30日公司最新的股东人数和机构持股情况，谢谢	您好，请告诉我2021年9月30日该公司最新股东数量和机构持股情况。谢谢。	1
公司上半年没有预告中报业绩，请问年报会有业绩预告吗？看到很多公司的订单预喜希望公司能尽快出台年度预报，提高透明度，给投资者信心。	该公司未事先报告上半年业绩。年报有没有业绩预告？看到很多公司的订单，希望公司尽快发布年度预告，提高透明度，给投资者信心。	1
请问贵公司的主营业务收入大多在国外,在全球范围的疫情影响下,国外大概率面临金融危机,贵司是否尝试往国内转型?	我想问一下，贵公司的大部分主业务收入都在海外。受全球疫情影响，外国可能面临金融危机。贵公司是否在尝试向中国转型？	1
请问公司产品有应用在PMSM电机上吗?占公司主营比例多少？谢谢	该公司的产品是否用于永磁同步电机？公司的主营业务占多大比例？谢谢你，谢谢	1
公司的核心技术是什么，在行业内的地位如何？谢谢	公司的核心技术是什么，在行业中的地位是什么？谢谢你，谢谢	1
您好，请问公司目前的几个投资项目进展如何？特别是大晶信息的光敏剂项目，前期公司一直回答说4季度开始试生产，广大投资者也一直在翘首以盼，现已经入11月，该项目能否如期启动？盼详细回复，谢谢！	您好，公司的一些投资项目进展如何？特别是大正信息光敏剂项目，此前公司回复第四季度开始试产，很多投资者都期待，现在11月，这个项目能如期上线吗？恭候您的详细回复。谢谢。	1
截止到今天收盘股东户数是多少	到今天为止的收盘价，股东人数是多少？	1
请问贵公司确有在持续经营创造效益的供电厂？规模大吗职工几百？月输出电、热产能各约多少？	贵公司有没有真正能够为创造利润而继续运营的电力工厂？规模大吗？数以百计的员工？每月的发电量和发热量是多少？	1
请问截止2021年12月20日收盘，公司的股东户数是多少？非常希望能够及时回复，谢谢。	到2021年12月20日，公司股东户数是多少？我希望你能马上回复。谢谢。	1
公司核心业务影像耗材有什么应用，请介绍一下，谢谢	形象耗材在公司核心业务中的应用是什么？请介绍一下。谢谢。	1
您好，请问截止10月20日收盘，最新的股东人数是多少？望告知一下，谢谢	您好，到10月20日，最新的股东人数是多少？请告诉我。谢谢。	1
公司大股东持股比例并不高，考虑增持股份吗？给股民一点信心吧，股价又创新低了！！！	公司大股东比例不高。你在考虑增收吗？给投资者一点信心，股价又差劲了！	1
公司觉得未来预制菜产业链前景有多大？是否会在预制菜产业链中加大投入生产适配预制菜的产品。谢谢！	该公司如何看待未来预制食品产业链的发展前景？是否加大对预制食品产业链中适合预制蔬菜的产品生产的投入？谢谢。	1
董秘先生，为进一步加速扩大公司业务的区域范围和市场份额，建议公司董事会认真研究是否考虑主动引进具有国资背景的战略投资者，谢谢！	董秘先生建议董事会认真研究是否要积极引入具有国有背景的战略投资者，以进一步加快企业的区域性范围和市场份额的扩大，非常感谢！	1
利托那韦关键中间体生产的产量多少？有无大额订单?	利特纳维亚的重要中间体产量是多少？有大点的吗？	1
到12月31日股东人数是多少？	到12月31日的股东人数是多少？	1
公司研发的碳纳米管属于新材料，建议公司改名“捷邦新材”。	该公司开发的碳纳米管是一种新材料，建议公司更名为“Jaebon新材料”。	1
请问查询特定时点的股东人数，除了提供持股证明和身份证明外，是否还需要其他材料？是否可以通过电子渠道？如果可以请提供电子渠道地址，谢谢。	我想查询具体时间的股东人数，除了提供持股凭证和身份证外，还需要其他材料吗？能用电子频道吗？如果可以的话，请提供电子频道的地址。谢谢。	1
请问董秘，截止7月16日公司股东人数是多少？	请问董秘，到7月16日，该公司股东人数是多少？	1
增材公司目前产能和规划产能是多少？	公司目前的产能和计划的产能是多少？	1
董秘你好，公司现在的产能能跟上订单需求吗？是否满产满销了?公司有没有考虑扩产计划?	请问董秘，公司目前的产能能跟上订单需求吗？它是全面生产还是全面销售？那家公司考虑过扩大生产的计划吗？	1
董秘你好，请问公司相关产品技术对标国外是否可实现国产替代，谢谢？	请问董秘，公司的相关产品和技术在国外可以用国产产品替代吗？谢谢。	1
公司车用高压继电器是否有产品？	这家公司有汽车高压继电器的产品吗？	1
董秘你好，贵公司最近有没有中标新的订单？	董秘，您好。贵公司最近获得过新订单吗？	1
您好！请问截至11月20号，公司股东人数是多少？谢谢	您好！截至11月20日，该公司的股东数量是多少？谢谢你，谢谢	1
目前消息报道，新冠新药获批后默沙东将向105国分享新冠口服药，市场那么大，请问公司该新冠新药的原料药产能能跟得上吗？是不是应该做好扩充产能的准备？谢谢	目前，新冠肺炎新药获批后，玛莎东与105共享新冠肺炎口服药物，市场如此之大，公司新冠肺炎新药原料产量能否跟上？要不要准备扩大产能？谢谢你，谢谢	1
公司现在总的产能是多少？募投项目全部投产后的产能是多少？现有产能以及募投项目之外，公司拟建的产能还有多少？请给投资者准确的数据，辛苦您了，谢谢！	那家公司目前的总产能是多少？资金募集项目全部投产后，产能是多少？除了目前的产能和资金募集项目，该公司计划建设多少产能？请给投资者准确的数据。谢谢。谢谢。	1
请问，我是公司的小股东，如果我想知道11月30号的股东人数，需要什么条件？或是需要我提供什么证明？ 还是说，只有机构投资者才能知道，我们小股东无权知道每个月的股东人数？ 我知道的是，别的公司对机构投资者和小股东是同等对待的，我不知道咱们公司对机构投资者和小股东是一样的，还是不同的待遇？	告辞了。我是这家公司的小股东。如果我想知道11月30日的股东数量，我需要什么样的条件？还是我需要提供什么证据？还是只有机构投资者知道，我们的小股东没有权利知道每个月的股东数量？我所知道的是，其他公司对机构投资者和小股东一视同仁。我不知道我们公司是同样对待机构投资者和小股东还是不一样。	1
电子烟万亿蓝海市场  请问公司的的微型电池是否可以用于电子烟产品	电子烟兆蓝海市场质疑该公司微型电池能否用于电子烟产品	1
尊敬的董秘你好！ 贵公司从发布业绩后近十几天股价出现严重暴跌；业绩同比增长近1300%，可笑的是股价不涨反而暴跌创下近期新低，公司股价是否遭到人为恶意做空还是公司订单、新签项目、与即量产生产线等不及预期？请速自查，公告澄清，给投资者一点点信心！谢谢	尊敬的董秘先生您好。贵公司财报公布后10天股价暴跌，业绩同比增长近1300%。奇怪的是，股价不仅没有上涨，反而暴跌至近期低点。是该公司股价被恶意做空，还是该公司股价卖空、新签的项目、生产线低于预期？请尽快核查自己，澄清公告，给投资者一点信心！谢谢你，谢谢	1
现在股票价格已经跌破净资产,公司启动回购计划了吗?	目前股价已跌破净值，该公司是否启动了回购计划？	1
请问截止目前贵公司股东人数有多少？	到目前为止，你们公司的股东人数是多少？	1
公司的汽车电子产品涵盖了哪些？谢谢	该公司的汽车电子产品涵盖哪些领域？谢谢你，谢谢	1
贵司大晶信息投产从6月份回复下半年投产，到四季度投产，到最新回复还在设备安装，马上2021年就结束了，一拖再拖的项目进度这样的处理方式不是欺骗投资者么？贵司是否应该给与投资者足够的信息公开关注，不要每次等投资者询问再回答，请及时更新贵司新项目进度？谢谢！	贵公司大靖信息从6月投产到下半年投产开始，四季度开始投产，最新的回升还是设备安装方面的情况，立即在2021年结束，项目进度一再推迟，这种处理方式是不是在欺骗投资者？请您的公司给投资者足够的信息，而不是等到投资者提问后再回答，而是及时更新您的新项目进展情况。谢谢。	1
请问截止3月31日公司股东人数是多少？谢谢	截至3月31日，股东人数是多少？谢谢你，谢谢	1
您好，贵公司的产品有应用在农业，农机或者农化产品上吗？	请问您的产品是农用的还是农机的？还是农业用的？	1
董秘，公司在6G方面有技术储备吗？	董秘，公司有6G的技术储备吗？	1
董秘您好！请问截止11月10日目前公司股东户数是多少？融资融券户数又是多少？谢谢	董秘你好。截至11月10日，该公司的股东户数是多少？融资融券的户数是多少？谢谢你，谢谢	1
董秘您好，近期电子烟国标进入“征求意见”阶段，有可能会带动电子烟行业发展，公司有开发电子烟的PCBA板相关产品吗？目前是否有和电子烟厂家有合作？公司是否有计划拓展电子烟产品方面的客户？	你好，董秘。近期，电子烟国家标准进入“征求意见”阶段或将推动电子烟行业发展。该公司是否为电子烟开发PCBA板相关产品？目前正在与电子烟制造商合作吗？该公司是否有计划在电子烟产品方面扩大客户？	1
请问公司领导，贵司7月20日公布减持公告，迄今减持时间已过一半，不用公布减持进展公告吗？	请问公司领导，贵公司7月20日发布，截至目前的减持时间已经过了一半，是否需要公布减持公告的进展情况？	1
尊敬的董秘，您好公司和蓝思科技合作成立湖南蓝思华联精瓷有限公司，思华联精瓷经营范围包括特种陶瓷材料的研制、生产和经营。请问下具体产品有哪些呢？	亲爱的董秘，公司与蓝思科技合作成立湖南澜丝华联精磁有限公司，经营范围包括陶瓷特殊材料的开发、生产和经营。具体有什么产品？	1
装修行业已进入㕵季，公司订单量是否饱满？	装修行业已经进入旺季，公司的订单量满了吗？	1
请问贵公司有考虑江水海品牌升级或者改名成好孩子？	贵公司有没有考虑过升级江水海品牌或改名为好孩子？	1
受俄乌局势和能源等制裁影响，欧洲化工品工厂减产甚至被迫停产，国外化工品价格上涨，公司今年来的产品价格是否有上涨趋势？谢谢	受俄罗斯、乌克兰局势、能源等制裁影响，欧洲化工厂被迫停产，海外化工产品价格上涨。今年该公司产品的价格上涨了吗？谢谢你，谢谢	1
贵公司在光伏项目上的运用是什么产品？	贵公司在太阳能发电项目中的用途是什么？	1
请问公司产品涉及军工方面吗	该公司的产品是否与军工行业有关联？	1
四川二期在建磷酸铁锂项目产能多少万吨每年？预计何时投产？	四川第二期在建磷酸铁锂项目年产能几万吨？打算什么时候投产？	1
贵司终端嵌入式软件有用开源软件研发，根据相关（L）GPL相关协议，如果坚持不闭源也不开放源代码，Qt厂商有权要求召回相关终端设备并在其监督下打上厂商Logo并告知硬件接口如何开源修改等，请问是否有应对措施？另，华为是Qt厂商闭源客户也非常在意供应商开源模块的风险，请问是否知会合作方或者其他海关客户？	您的终端嵌入式软件对于开发开源软件非常有用。根据相关(L)GPL协议，如果声称既不是源代码，也不是源代码，Qt制造商将召回相关终端设备，并在其监督下佩戴制造商Logo，并告诉硬件接口如何修改开源。有什么回复吗？同时，华为是Qt厂商的开源客户，关注供应商开源模块的风险。你会通知合作伙伴或其他海关客户吗？	1
请问元宇宙时代来临，我们公司有没有这方面的技术储备，利用虚拟技术进行产品的设计销售等等？比如虚拟主播销售	随着梅塔巴斯时代的到来，我们公司是否有在这方面的技术储备，使用虚拟技术进行产品设计和销售等？例如虚拟脚轮的销售	1
特别想知道公司的底线在哪里，面对股价连跌多年，毫无行动，准备何时增持股份？	我特别想知道公司的底线在哪里，但是股价已经跌了好几年了，没有动静。你打算什么时候增收？	1
您好，请问公司燃气具及其配套产品是否涉及到出口，如有出口的话主要是什么国家	请问该公司的燃气用具及其配套产品是否与出口有关？如果是这样的话，主要出口国是哪个国家？	1
公司国内的竟争对手有那些上市公司，公司在同类公司中的优势是什么？公司的订单超过20亿，能不能在新增产能的消化下一年内完成？	在该公司的国内竞争对手中，有哪些上市公司？在同一家公司中，对那家公司有什么好处？公司订单量超过20亿，能否在消化新增产能后一年内完成？	1
公司有碘片业务吗	该公司有碘芯片业务吗？	1
新能源汽车替代燃油车已经是明确的历史大势。这是一片广阔的蓝海，还远没有到红海程度。所以我们看到很多企业在抓紧扩产包括和锂电池巨头股权联姻抢时间为将来成为这个行业里的头部企业做准备。公司在锂电铜箔方面只有2万吨产能，也没有后续扩产计划，是否担心到那时在新能源行业被边缘化？	新能源汽车替代燃油汽车是一个明显的历史趋势。那是离红海很远的广阔的蓝色大海。所以很多公司都在争先恐后地扩大生产，我们看到，嫁给锂电池巨头，争取时间将成为未来行业的领先者。该公司在锂铜箔中的产能只有2万吨，没有扩大生产的计划。您是否担心到那时才会在新能源行业被边缘化？	1
董秘您好，看公司财报公司连续五年年收益保持增长态势。今年按二季度来看也是大幅度增长，想问下这种增长态势主要因素是什么？公司后续业绩动力在哪里？公司对自己所处行业发展动力有没有信心？公司主业有没有进一步多元化发展的战略构思？	董秘，您好。请看这家公司的财务报告。该公司收益连续第五年增长。今年第二季度也大幅增长。这一增长趋势的主要因素是什么？公司后续业绩的驱动力在哪里？公司对自己行业的发展动力有信心吗？公司主营业务有没有进一步多样化的战略构想？	1
你好请问截止11月底股东人数是多少	请问到11月底，股东人数是多少？	1
你好：在全面禁抗的政策下，公司中药迎来了机遇，请问现在的泰万菌素和泰乐菌素的产能是多少，未来扩产到多少，出口占比多少？谢谢！	你好：在全面禁止耐药政策下，该公司迎来了中医药机遇。特雷信和特雷信目前的产能是多少，未来会扩大多少，出口的比例是多少？谢谢。	1
尊敬的董秘，您好，据公司资料，在元宇宙领域，公司应用到虚拟现实AR/VR的产品有智能机器人、VR一体机等，同时有着多项虚拟现实AR/VR相关的专利技术。在元宇宙的游戏领域， 子公司深圳宇讯云游科技有限公司主营网络游戏，请问，公司旗下是否有涉及虚拟现实的子公司？	亲爱的董秘，据公司信息，在虚拟航天领域，公司应用于虚拟现实AR/VR的产品包括智能机器人、VR一体机等多项与虚拟现实AR/VR相关的专利技术。在梅塔巴斯的游戏领域，子公司深圳市宇讯云游科技有限公司，主要经营网络游戏。请问该公司是否有与虚拟现实相关的子公司？	1
您好，董秘！公司有对尿素药品方面的产品么？贵司与沙默东的合作已经三年多了，具体合作进展如何？谢谢！	董秘你好。这家公司有尿素药的产品吗？贵公司和夏默顿的合作已经三年多了。具体合作进展如何？谢谢。	1
今年原材料大涨，公司中报说目前是满产状态。请问是否有扩大产能计划？国内有哪些生产基地？是否有海外工厂？对于出口业务有何布局？	今年，原材料价格飙升，该公司报告称，目前已全面开始生产。有扩大产能的计划吗？国内有什么生产基地？有海外工厂吗？出口业务布局如何？	1
董秘你好，请问公司旗下的四川阿尔特公司的三合一电驱动是否已经量产？销量如何？谢谢。	请问董秘，您能告诉我该公司四川阿尔特公司的三合一电动传动装置是否已经量产吗？销售情况如何？谢谢。	1
董秘你好，袁董介绍中国的电信运营商已经在网络规模、业务创新、标准制定等方面居于国际先进行列，公司的主营业务是为中国的电信运营商提供行业领先的OSS软件产品和解决方案，oss软件产品和解决方案是否达到国际领先水平？谢谢！	你好，董秘。袁东表示，中国电信运营商在网络规模、业务创新、标准制定等方面一直跻身国际先进行列。该公司的主要业务是为中国电信运营商提供行业领先的OSS软件产品和解决方案。OSS软件产品和解决方案是否在国际上处于领先地位？谢谢。	1
您好 无人机上要用到大量的减速和控制等微传动部件，公司的产品目前还没有用于无人机的案例，请问公司产品用于无人机目前存在哪些需要攻克的技术难点？公司在为传动产品进入无人机领域有什么规划？ 谢谢！	您好，无人机使用了大量的减速、控制等微致动器。目前，该公司的产品中没有使用无人机的案例。无人机在使用中需要克服哪些技术难点？该公司有哪些变速器产品计划进军无人机领域？谢谢。	1
到1月10日股东人数多少？	到1月10日的股东人数是多少？	1
公司是否有虚拟现实方面的订单？	该公司是否有虚拟现实的订单？	1
公司目前出口美产品是否依然被列入加征关税清单，如若未来这一影响被取消，对公司将产生怎样的影响呢？	目前，该公司对美国的出口是否仍在关税清单上，未来若剔除这一影响，将对该公司产生何种影响？	1
请问，截至2021年11月19日，公司的股东数是多少？谢谢	请问到2021年11月19日，该公司的股东数量是多少？谢谢你，谢谢	1
最近公司新闻消息利好不断，为什么股价跌跌不休，是有股东大规模减持吗？还是有负面消息未公布？	最近，关于该公司的好消息还在继续。为什么股价一直在下降？有没有大规模的股东减支？还是没有什么负面的消息发布？	1
董秘您好:请问贵司尿苷产品12月是否有新签订单或者正在商谈沟通的订单?请给予回复,谢谢!	董秘您好：有没有12月份新签的乌洛科产品订单或洽谈沟通的订单？请给我答复。谢谢。	1
贵公司在芯片和光伏领域是否立项并申请专利，利用相对应领域需要沉降到基材表面的物质去做实验和研究？	贵公司是否在芯片和光伏领域申请专利，并在相应领域使用需要沉积在基板表面的物质进行实验和研究？	1
贵司能否参照688185那样公布最近股东户数？另外扩产工程装修进度怎样了？（上次回复投资者说进入装修了）	你能参考688185公布的近期股东户数吗？此外，扩建项目改造进展如何？(上次我回复投资者进入了这个装修项目。)	1
请问董秘，公司的新冠检测产品有没有在国内申请销售资质？	我是董秘，该公司的新冠肺炎检测产品是否已经在中国申请销售的资质？	1
请问公司是否有氢内燃机的技术储备及研发进程？	公司是否拥有氢内燃机的技术储备和研发流程？	1
尊敬的董秘您好： 请问截至12月10日的股东户数为多少？谢谢	尊敬的董秘您好：到12月10日，股东人数是多少？谢谢你，谢谢	1
请问截止10月10日股东人数？	你能告诉我截至10月10日的股东人数吗？	1
请问公司到12月22日股东人数是多少？	到12月22日，该公司的股东数量是多少？	1
电动汽车、氢燃料汽车、需要用到液压控制系统方面的产品吗？贵公司有提供哪些新能源车供应商？谢谢！	是否需要使用电动汽车、氢燃料汽车和液压控制系统的产品？贵公司提供哪些新能源汽车供应商？谢谢。	1
安九 高铁是否有公司产品？	安久高铁有公司的产品吗？	1
董秘你好，请问贵公司碳化膜应用于储能电池成品有没有最新的进展。	董秘您好，碳化膜在贵公司成品储能电池中的应用有没有最新进展？	1
公司前三季度显示业绩亏损，请问公司全年业绩是不是亏损？公司经营业绩结算，是不是主要在四季度？	该公司在前三个季度出现亏损。该公司的年度业绩亏损吗？公司经营业绩的结算主要是在第四季度吗？	1
董事长你好, 22年在21年的原有产量上，还会有新增产量出现的可能吗？	你好，主席。在21年原产量的基础上，是否有可能在22年的基础上增加产量？	1
董秘你好!问下2020.10.14公告公司增加经营范围里医疗器械项目!请问公司有相关产品上市嘛?研发进度什么程度了?	你好，董秘！下一步要求2020.10.14公司增加医疗器械项目的范围！公司在市场上有相关产品吗？研发进展如何？	1
远大智能高科侧重轨道交通等优势领域市场开发，兼顾航空航天、海洋工程、新能源汽车、家电厨卫等领域，对现有应用领域进行纵向延伸、横向拓展，进一步开发新产品、新技术，创造新的利润增长点。目前进展如何？非公开发行有没有再继续推进？	远大智能高科聚焦轨道交通等优势领域的市场开发，兼顾航空航天、海洋工程、新能源汽车、家用电器、厨房、环卫等领域，对现有应用领域进行纵向和横向延伸。进一步开发新产品新技术，打造新的利润增长点。到目前为止进展如何？非公开发行进一步进行了吗？	1
你好，请问贵公司产品是否可以应用到新冠检测或是新能源、芯片行业中。	您好，您的产品能否应用于新冠肺炎测试或新能源和芯片行业？	1
世界最大的豆粕出口国阿根廷，宣布暂停豆粕出口了，请问公司的水产原料储备是否充足，公司产品近期是否再度涨价？	全球最大豆粕出口国阿根廷宣布暂停豆粕出口。请问该公司是否有足够的水产原料储备，以及最近其产品的价格再次上涨？	1
您好，公司有哪类的产品应用于冬奥会？是否都已经交付？谢谢！	请问该公司有哪些冬奥会专用产品？都到了吗？谢谢。	1
贵司与贵司最大供应商（也是股东之一）之间的关系如何厘清？	如何澄清您的公司与您最大的供应商(也是股东之一)之间的关系？	1
你好，公司与中国航天科技集团公司五院下属轩宇智能公司都是做核工业及特殊环境智能装备系统的，你们2家是何种关系？公司如何在竞争中保持优势地位？谢谢！	您好，公司和中国航天科技集团五院所属轩宇智能公司都在做核工业和特殊环境的智能装备系统。你们两个是什么关系？这家公司是如何在竞争中保持主导地位的？谢谢。	1
公司截止11.30股东人数多少？	截至11时30分，该公司的股东人数是多少？	1
请问公司的钢丝网加强挤出，多股弹簧缠绕技术，亲水涂层，国内是否有同行也具备相同的核心技术工艺呢？	请问该公司的钢丝网加固挤压、多股弹簧缠绕技术、亲水性涂层，国内同行也有相同的核心技术吗？	1
6月15日网上首发路演时，胡伟武还透露，龙芯中科将进军车载芯片市场！请问，贵公司车载芯片的技术专利是否全部自主？	6月15日在线路联袂演出，胡鹏武还透露龙芯中科将进军车载芯片市场！请问你们公司是否拥有车载芯片的所有技术专利？	1
董秘您好，“东数西算”是一个大工程，不仅涵盖了算力需求问题，还提到了绿色节能问题，请问贵司在低耗能节能减排等方面是否有研发和投入，谢谢。	董秘你好。“东算西算”是一项大工程，不仅覆盖数学需求，还提到绿色节能的问题。贵公司在低能耗、节能减排方面有研发和投资吗？谢谢。	1
董秘，你好，请问截止4月29日收盘的股东人数是多少，谢谢！	董秘你好。4月29日收盘的股东人数是多少？谢谢。	1
公司方便器项目是否有新项目，推广是否顺利	公司厕所项目里有新项目吗？推广顺利吗？	1
尊敬的领导你好：请问在公司介入的“智慧物业”和“智慧城管”这两个新行业中，主要竞争对手都有哪些公司？在这介入的两个新赛道中，公司的竞争优势都有哪些？谢谢！	尊敬的领导你好：公司所涉及的知识产权产业和智慧城管这两个新行业中，主要的竞争对手是什么？该公司在这两个新课程中的竞争优势是什么？谢谢。	1
董秘您好！公司今年业务量如何？公司财报上有近四个亿的现金及总计42亿的流动资产，是否会有转型的需要？	董秘你好。公司今年的业务量如何？公司结算现金近4亿，流动资产合计42亿，还需要转换吗？	1
公司获得了一项区块链专利“一种基于区块链的药品批次档案追溯系统”，说明公司拥有区块链技术。请问公司的区块链技术应用于哪些产品？	该公司已获得区块链专利“基于区块链的药品批次文件跟踪系统”，标志着该公司拥有区块链技术。该公司的区块链技术适用于哪些产品？	1
董秘你好:请问公司的主营业务是什么?	你好，董秘：公司的主要业务是什么？	1
请问卡倍亿公司董秘，卡倍亿和对特斯拉供货新能源汽车线缆等产品，在2021年有比2020年增长幅度大吗？	请问财务长10亿，特斯拉供应新能源汽车电缆等产品的情况下，2021年会不会比2020年有更大的增速？	1
董秘您好，强烈建议贵公司通过抖音淘宝等平台开展直播，大幅度通过优质主播宣传贵公司优质的航空胎产品，不然迟早落后时代？不然咋打败外国的品牌！	你好，董秘。贵公司强烈建议通过抖音、淘宝等平台开展直播，通过优质主播大力宣传贵公司优质航空轮胎产品。否则，迟早会落后于时代。否则，怎样才能打败外国品牌！	1
公司大股东持股比例85%，市场流通盘不足，交投不活跃，请问大股东未来三年内是否有减持计划？	公司大股东持股比例为85%，市场流通不足，交易不活跃。大股东未来三年有减息计划吗？	1
董秘您好！山西键合线如果生产资金到位，订单充足，月产值能达多少？谢谢！	董秘你好。山西债券行若产资稳固，订单充足，月产值可达多少？谢谢。	1
尊敬的董秘，您好！ 1. 国家发布体育十四五规划已有半年，请问国内的销量有明显的提升吗？ 2. 越南近期疫情，基本都是每天确诊16000例左右，会否显著增加公司的经营成本？另外越南工厂现在产能是满产状态吗？	尊敬的董秘，你好吗？1、国家提出体育十四五规划已经半年了。国内销售显著增长吗？两个人。越南最近的疫情基本上每天确诊约16000例。会大幅增加公司的运营成本吗？另外，越南工厂的产能现在是全负荷吗？	1
提问，最新股东户数。	问题是，最新的股东数量。	1
董秘您好,公司精良啤酒的进展如何，上海松江精酿啤酒项目现状如何，谢谢!	董秘您好，公司手工艺啤酒进展如何？上海松江克拉夫特啤酒项目现状如何？谢谢。	1
请问到11.10股东人数是多少？谢谢	股东人数不超过11.10人有多少？谢谢你，谢谢	1
公司产品是苹果手机供应商吗？	该公司的产品是iPhone供应商吗？	1
董秘你好，贵公司产品，应用在新能源车的占比是多少？主要是座椅，仪表台？	请问董秘，您的产品在新能源汽车的使用比例是多少？主要是座位，仪表板？	1
您好，请问贵司银包铜量产进度如何了？	请问贵公司的覆银铜生产进展如何？	1
董秘你好，目前公司订单量是否充足？	你好，董梅。公司目前的订单量是否足够？	1
请问公司是否有青春双歧杆菌菌源,是否具备该菌种批量生产能力?	该公司是否有青春型双歧杆菌的来源？你拥有这种菌株的大量生产能力吗？	1
公司有婴幼儿产品吗？销售额和比例占多少？	这家公司有婴儿用品吗？销售量和百分比是多少？	1
越南工厂是否恢复正常生产状态？UGG订单占比多少？秋冬季UGG是否已经完成订单？	越南工厂恢复正常生产了吗？UGG订单的比例是多少？UGG在秋冬完成订单了吗？	1
贵公司最大做强需要稳定下股价，提升一下市值，尽早满足条件纳入深港通，吸引更多专业的投资者和投资机构，提高知名度。 贵公司上市以来从未增持过股价，也没有进行过送股，一直在减持，这样对公司长远发展和公司的稳定发展并不有利。 希望贵公司多做点对投资者有用的事，谢谢	贵公司最大的实力需要稳定股价，增加市值，满足尽快进入深港通的条件，吸引更多专业投资者和投资机构，提高知名度。贵公司上市以来从未涨价，不给股票，一直在减少，不利于公司的长远发展和稳定发展。我希望贵公司能为投资者做一些有益的事情。谢谢。	1
请问公司与辉瑞等国外知名公司在新冠特效药等方面的合作情况？是否是其新冠特效药原材料的主要供应商？	您能告诉我该公司与辉瑞等知名外国公司在新冠肺炎、特效药等方面的合作情况吗？它是新冠肺炎特效药原料的主要供应商吗？	1
用友网络有大量的客户资源，强烈建议公司引进用友网络战略入股，或者与其建立合作关系。	用友网络拥有大量的客户资源，公司强烈建议引入用友网络战略，或与其建立合作关系。	1
您好  请问贵司在化解DDoS攻击方面有什么成果？  谢谢	您好，贵公司在消除DDoS攻击方面取得了哪些成果？谢谢你，谢谢	1
董秘，你好！截止9月30号，股东人数多少？	董秘你好。到9月30日的股东人数是多少？	1
公司生产经营销售电力热能吗？公司在当地规模如何？	该公司是否生产、经营或销售电力和热能？这家公司在当地的规模是多少？	1
公司产品是否有用于军工领域？份额占比多少？	该公司的产品是否用于军事领域？能分成多长时间？	1
请问董秘贵公司能否在新能源和卡脖子领域加大研发投入谢谢	请问董秘贵能否在新能源和Neck领域投入研发？谢谢。	1
公司管理层能否增持公司股份？而不是拿去理财	公司管理层可以增持公司股份吗？而不是用于财务管理。	1
董秘您好，请问新增华东基地3.78万吨冷冻烘焙食品产能、2.31万吨食品原材料的产能包含原来长兴基地的产能吗？还是说是在长兴基地的产能上，额外增加这些产能？	请问董秘，东中国新增的冷冻烘焙食品产能37800吨，食品原料产能2300吨，包括原来长兴基地的产能吗？还是为了提高长兴基地的产能？	1
请问国信证券-农业银行-国信证券鼎信12号员工参与战略配售集合资产管理计划持有的股份是多少股？是首发参与5.97元配售而来的吗？为什么在公司的三季报十大股东看不到该持股股东了？凭空消失了还是已经减持完毕了？该部分股份已经过了限售期了？	请问国信证券-农行中国-国信证券鼎新12号员工持有多少股份参与战略配售集合资金管理计划？5.97元配售是否涉及IPO？为什么前十大股东在公司三期报纸上看不到股东？它是从天上消失的，还是减少了？这部分股票是否已经过了销售限制期？	1
董秘你好，请问公司截至2021年三季度末已经建成的生猪产能是多少？三季报的销售收入中生猪销售收入占比多少？截至三季报公司员工数有多少？能繁母猪有多少头？今年预计出栏目标是否有调整？今年预计出栏多少？公司管理费用率远高于同行业可比公司，是什么原因？	董秘，您好，到2021年三季度末，生猪产能已经完成了多久？三季报中生猪销售收入所占比例是多少？截至第三季度报告，该公司的员工人数是多少？母猪可以繁殖几头？今年的预期目标调整了吗？预计今年会有多少障碍？该公司管理费率远高于该行业的原因是什么？	1
关注到公司今年电子化学品业务增速很快，根据公司π战略发展规划，请结合目前公司实际，电子化学品业务有没有可能发展成为公司第4大业务板块。	关注今年公司电子化学品业务的快速增长，根据公司π战略发展规划，结合公司实际情况，电子化学品业务是否可能发展成为公司第四大业务板块。	1
请问公司是否有向锂电池研发的计划，以便于进一步延伸锂电池控制器产业链，为客户定制和开发更多适宜产品和服务？谢谢。	公司是否拥有锂电池的研发计划？如何进一步延长锂电池控制器的产业链，为客户定制和开发更合适的产品和服务？谢谢。	1
您好,请问公司与三环集团竞争,拥有什么优势?	您好，我们正在与三环集团竞争，该公司有哪些好处？	1
国内、国际都在向新能源产业转型，贵公司作为专注于工业模块的设计和制造的国际领先企业，有没有在制氢模块、锂电模块、核电气体分离装置、智能机器（工业）方面的业务？有没有和大型公司合作和订单（举例说明一下）？	在国内和国际上正在向新的能源产业转型。作为专注于工业模块设计与制造的国际领先公司，您在氢生产模块、锂动力模块、核电气体分离设备、智能机械(行业)业务？贵公司是否与大公司合作订购(例如)？	1
领导您好：请问截止10月20日收盘公司股东户数多少？其中机构持有又是多少家？谢谢！	导师您好：截至10月20日，公司股东人数是多少？其中有多少是由机构拥有的？谢谢。	1
从您的解答中看不出公司与安恒信息有哪些不同。能否具体介绍一下公司电子认证产品信息安全服务和安全集成的具体运用场景和运用实例，谢谢！	从你的回答中，我不知道公司和安恒信息有何不同。您能具体介绍公司电子认证产品在信息安全服务和安全融合中的具体应用场景和实例吗？谢谢。	1
